kepid,kepoi_name,koi_disposition,koi_score,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,radius,density,esc_vel,temperature,ESI,ESI_n_components
8543278,K07052.01,FALSE POSITIVE,0.0,7.549299761,135.0113297,0.899,2.46338,44576.0,18.8,690,53.74,907.2,1,5085,4.679,0.634,283.94864,44.669498,14.608,0.2706998026034045,,,0.05212747009297046,0.11878929187591773,2
8552500,K07053.01,FALSE POSITIVE,0.0,0.530972263,131.7212,1.079,3.653,48.6,9.32,2373,7495.0,12.1,1,6185,4.472,0.991,288.86761,44.648022,15.016,0.3924548224937037,,,0.0001956172086652189,0.008761901443375308,2
8552540,K07054.01,FALSE POSITIVE,0.0,0.530967171,131.725385,0.84,3.8102,378390.0,92.29,2312,6728.14,671.9,1,5951,4.439,0.991,288.89041,44.61702,10.292,0.1118873774552506,,,0.00022264152897571914,0.004991069703953292,2
8553788,K07055.01,FALSE POSITIVE,0.0,1.606163631,131.6342249,0.901,4.92516,144600.0,130.46,2943,17727.93,1662.0,1,8027,3.997,2.314,289.4288,44.641411,12.691,0.09201841102687862,,,6.623037770081645e-05,0.002468686719237405,2
8553907,K07056.01,FALSE POSITIVE,0.0,42.03209608,133.581119,0.519,11.6768,391260.0,79.17,622,35.34,2164.4,1,6618,4.393,1.117,289.47922,44.631371,12.694,0.12198328477066918,,,0.07793032516663814,0.09749972844614936,2
8559863,K07058.01,FALSE POSITIVE,0.0,22.47049437,143.284831,0.86,7.39097,45979.0,19.12,518,17.04,2393.2,1,5315,4.636,0.697,291.7309,44.622631,12.723,0.2682372889016548,,,0.15339384165743225,0.20284464060063145,2
8489260,K07889.01,CANDIDATE,0.386,130.235324,218.2719,0.075,5.678,750.1,2.44,332,2.86,9.7,1,5616,4.529,0.903,289.57452,44.519939,15.991,0.7340891163837793,,,0.6631500857230603,0.69771861123111,2
9529856,K07185.01,FALSE POSITIVE,0.0,37.48222388,155.8400132,1.2,4.81451,28977.0,114.14,902,156.47,1262.3,1,6422,3.78,2.415,293.26245,46.15062,13.46,0.09924031845239581,,,0.0174423667112881,0.041605120201625406,2
9536048,K07186.01,FALSE POSITIVE,0.277,3.71186243,132.6486,0.469,1.032,53.9,0.95,1406,922.9,7.0,1,6302,4.299,1.258,295.61349,46.190689,13.787,0.9853030430090121,,,0.002431199803952428,0.04894352423965034,2
9540450,K07187.01,FALSE POSITIVE,0.0,1.077358008,131.600551,0.619,3.6713,311050.0,70.64,1925,3242.53,537.4,1,6100,4.397,1.064,297.09329,46.132381,14.146,0.1300613982124172,,,0.0005472189995812296,0.008436353964476293,2
9540675,K07188.01,FALSE POSITIVE,0.0,3.55643514,133.5696,0.146,8.529,45.8,0.75,1297,669.38,13.4,1,5831,4.289,1.109,297.16602,46.199188,13.874,0.9158836999383775,,,0.0035236612470223357,0.05680901249143743,2
9541163,K07189.01,FALSE POSITIVE,0.0,0.5366497,131.71771,0.042,2.887,105.4,0.92,2142,4982.76,10.6,1,5822,4.529,0.898,297.29395,46.102341,15.449,0.9760329038085522,,,0.0003246941401242812,0.017802026975463302,2
9569866,K07191.01,FALSE POSITIVE,0.0,1.480324075,131.7556963,0.388,3.20209,400010.0,47.81,1313,701.93,1095.9,1,5260,4.56,0.717,282.22711,46.246159,13.983,0.1618590835822362,,,0.0033316074563440132,0.023221777058175092,2
9579192,K07192.01,FALSE POSITIVE,0.0,12.08353781,139.6155998,0.749,7.90317,43087.0,50.33,1310,696.82,3799.5,1,6770,3.89,2.214,287.63187,46.29871,12.344,0.15728071576030586,,,0.0033666584034823307,0.023011093920545143,2
8540376,K07892.01,CONFIRMED,0.994,10.692115,141.116,0.734,4.657,408.4,2.71,1008,244.47,9.4,1,6474,4.311,1.242,282.37753,44.694592,14.294,0.7031435042684433,,,0.01083481621294384,0.08728362183178397,2
10363300,K07318.01,FALSE POSITIVE,0.0,0.934926138,132.1779461,0.905,3.1925,131940.0,58.67,1957,3455.76,1149.3,1,5962,4.423,1.078,299.63449,47.477249,14.681,0.1443464661124593,,,0.0005050917215744475,0.00853863016366968,2
10396708,K07320.01,CANDIDATE,1.0,8.50207749,132.36121,0.073,3.057,117.3,0.75,679,50.14,10.5,1,4889,4.57,0.715,288.29715,47.56004,14.755,0.9158836999383775,,,0.05552361473823292,0.22550648261281933,2
10407047,K07321.01,FALSE POSITIVE,0.0,0.93374699,131.52406,1.167,6.168,172.1,103.98,3442,33070.3,25.5,1,4909,3.136,5.272,292.77695,47.539391,13.327,0.104605941705095,,,2.9718177752624522e-05,0.001763150013349032,2
10407430,K07322.01,FALSE POSITIVE,0.0,0.933759404,131.50294,0.712,3.491,114.9,0.99,1763,2289.8,18.9,1,5766,4.514,0.866,292.93396,47.514751,15.619,0.9971325763378589,,,0.0008363519477321565,0.02887825777929395,2
10407464,K07323.01,FALSE POSITIVE,0.0,0.93373711,131.5293,0.121,3.151,12.9,0.37,2077,4422.99,11.2,1,6300,4.391,1.025,292.94501,47.528469,12.72,0.7039330515363311,,,0.00037772842517074846,0.016306303167255835,2
10420279,K07325.01,FALSE POSITIVE,0.0,45.43324862,159.870473,0.489,14.242,414350.0,77.25,529,18.46,1337.0,1,5731,4.359,1.08,297.38031,47.545029,14.774,0.1236804395956955,,,0.14221924934932223,0.1326263144270171,2
10422852,K07326.01,FALSE POSITIVE,0.0,1.398890216,132.16558,1.123,4.9641,66012.0,57.48,1784,2389.78,204.0,1,6134,4.378,1.051,298.07645,47.512798,14.855,0.14601346260778308,,,0.0007901374500961161,0.010741075599055168,2
11499757,K07450.01,FALSE POSITIVE,0.0,12.31440232,134.2520931,0.506,5.8903,393900.0,75.21,864,131.33,2540.6,1,6247,4.433,1.066,287.7262,49.435261,14.76,0.12555681181481496,,,0.020905118043533,0.05123260653293336,2
